contentid,title,addr2,cat3,cat2,cat1,mapy,addr1,booktour,tel,dist,mapx
2997534,2023 KOPIS 공연예술 데이터 포럼,,A02081300,A0208,A02,37.5670070697,서울특별시 중구 을지로5길 19 FERRUM TOWER,,02-708-2214,228.14948203012207,126.9841093855
2986424,서울페스타 2023 명동 페스티벌,,A02081300,A0208,A02,37.5647822864,서울특별시 중구 남대문로 81 롯데백화점 본점,,010-6218-9872,299.36306777088055,126.9817485525
2809535,남산봉수의식 등 전통문화 재현행사,,A02080100,A0208,A02,37.5698206245,서울특별시 종로구 종로 54 보신각,,02-120,319.1086056235045,126.9836898995
706180,서울거리예술축제,"서울광장, 청계광장, 무교로 일대",A02070200,A0207,A02,37.5655015943,서울특별시 중구 을지로 12 시청광장지하쇼핑센터,,02-3437-6455,332.72376977536464,126.9787960237
1073801,영양고추 H.O.T 페스티벌,서울광장,A02070200,A0207,A02,37.5655015943,서울특별시 중구 을지로 12 시청광장지하쇼핑센터,,054-680-6381,332.72376977536464,126.9787960237
2598331,2024 문화가 흐르는 서울광장,,A02081300,A0208,A02,37.5655015943,서울특별시 중구 을지로 지하12 (을지로1가),,02-761-9898,332.72376977536464,126.9787960237
2622167,경상북도사과홍보행사,,A02070200,A0207,A02,37.5655015943,서울특별시 중구 을지로 지하12 (을지로1가),,대구경북능금농협 053-740-3033 <br>경상북도 친환경농업과 054-880-3373,332.72376977536464,126.9787960237
2992563,제4회 수소경제와 한국의 수소기술 심포지엄,,A02081300,A0208,A02,37.5645378422,서울특별시 중구 소공로 106 서울 웨스틴조선호텔,,042-719-8043,349.57180560553815,126.9801987007
2996803,제3회 그린암모니아 국제컨퍼런스,,A02081300,A0208,A02,37.5645378422,서울특별시 중구 소공로 106 서울 웨스틴조선호텔,,042-719-8043,349.57180560553815,126.9801987007
3116057,중앙아시아 봄맞이축제,1 청계광장,A02070200,A0207,A02,37.5692400356,서울특별시 중구 태평로1가,,02-730-2011,369.7531185621435,126.9780820941
